latitudeGrid,longitudeGrid,year,sightingCount
39.7,-76.1,2019,1
39.8,-79.9,2019,1
39.8,-77.4,2019,1
39.8,-75.9,2019,1
39.9,-79.6,2019,1
39.9,-76.7,2019,1
39.9,-75.7,2019,1
39.9,-75.6,2019,1
39.9,-75.4,2019,2
39.9,-75.3,2019,1
39.9,-75.2,2019,3
40.0,-76.0,2019,1
40.0,-75.3,2019,2
40.0,-75.2,2019,10
40.1,-79.6,2019,1
40.1,-77.0,2019,1
40.1,-76.3,2019,4
40.1,-75.4,2019,2
40.1,-75.3,2019,1
40.1,-75.2,2019,6
40.1,-75.1,2019,1
40.1,-75.0,2019,1
40.1,-74.9,2019,1
40.2,-76.2,2019,1
40.2,-75.5,2019,3
40.2,-75.3,2019,1
40.2,-75.2,2019,1
40.2,-75.1,2019,1
40.3,-80.1,2019,3
40.3,-80.0,2019,2
40.3,-78.2,2019,1
40.3,-76.2,2019,1
40.3,-75.9,2019,1
40.3,-75.6,2019,1
40.3,-75.2,2019,1
40.4,-80.1,2019,1
40.4,-80.0,2019,2
40.4,-79.9,2019,7
40.4,-75.4,2019,1
40.5,-80.1,2019,1
40.5,-80.0,2019,6
40.6,-80.0,2019,1
40.6,-77.4,2019,1
40.6,-76.0,2019,1
40.6,-75.4,2019,2
40.6,-75.3,2019,1
40.7,-78.6,2019,1
40.7,-78.5,2019,1
40.7,-75.4,2019,1
40.7,-75.3,2019,1
40.7,-75.2,2019,1
40.8,-79.8,2019,3
40.8,-79.5,2019,1
40.8,-77.9,2019,4
40.8,-77.8,2019,1
40.8,-76.4,2019,1
40.8,-75.4,2019,1
40.8,-75.3,2019,2
40.9,-80.0,2019,1
40.9,-77.8,2019,1
40.9,-76.6,2019,1
40.9,-75.7,2019,1
41.0,-76.5,2019,1
41.0,-75.1,2019,1
41.1,-80.4,2019,1
41.1,-80.0,2019,1
41.1,-76.7,2019,1
41.2,-79.8,2019,1
41.2,-79.5,2019,1
41.3,-75.9,2019,1
41.3,-75.8,2019,1
41.5,-80.0,2019,2
41.6,-80.2,2019,1
